"date","state","baseline","normalLower","normalUpper","treshold","deaths","zscore","deathsReported","deathsCovid","deathsNonCovid","dateByMonth"
"2021 week 31","United States","2797","2603","2991","3185","4419","16.721649484536083",,"0","0","7/2021"
"2021 week 32","United States","2823","2563","3083","3343","4616","13.792307692307693",,"0","0","8/2021"
"2021 week 33","United States","2732","2496","2968","3204","4740","17.016949152542374",,"0","0","8/2021"
"2021 week 34","United States","2732","2576","2888","3044","4907","27.884615384615383",,"0","0","8/2021"
"2021 week 35","United States","2785","2723","2847","2909","5061","73.41935483870968",,"0","0","8/2021"
"2021 week 36","United States","2822","2592","3052","3282","5046","19.339130434782607",,"0","0","9/2021"
"2021 week 37","United States","2693","2503","2883","3073","4899","23.221052631578946",,"0","0","9/2021"
"2021 week 38","United States","2704","2476","2932","3160","4966","19.842105263157894",,"0","0","9/2021"
"2021 week 39","United States","2722","2468","2976","3230","4627","15",,"0","0","9/2021"
"2021 week 40","United States","2806","2620","2992","3178","4380","16.9247311827957",,"0","0","10/2021"
"2021 week 41","United States","2703","2563","2843","2983","4295","22.742857142857144",,"0","0","10/2021"
"2021 week 42","United States","2698","2548","2848","2998","4119","18.946666666666665",,"0","0","10/2021"
"2021 week 43","United States","2672","2480","2864","3056","4044","14.291666666666666",,"0","0","10/2021"
"2021 week 44","United States","2785","2533","3037","3289","4046","10.007936507936508",,"0","0","10/2021"
"2021 week 45","United States","2728","2482","2974","3220","3946","9.902439024390244",,"0","0","11/2021"
"2021 week 46","United States","2690","2482","2898","3106","3862","11.26923076923077",,"0","0","11/2021"
"2021 week 47","United States","2698","2404","2992","3286","3997","8.83673469387755",,"0","0","11/2021"
"2021 week 48","United States","2704","2482","2926","3148","3821","10.063063063063064",,"0","0","11/2021"
"2021 week 49","United States","2763","2561","2965","3167","4076","13",,"0","0","12/2021"
"2021 week 50","United States","2707","2465","2949","3191","3990","10.603305785123966",,"0","0","12/2021"
"2021 week 51","United States","2759","2469","3049","3339","4050","8.903448275862068",,"0","0","12/2021"
